Project,Package,Smell,Description
commons-io,org.apache.commons.io,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 102
commons-io,org.apache.commons.io,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.commons.io.input; org.apache.commons.io.output; org.apache.commons.io.filefilter; org.apache.commons.io.file
commons-io,org.apache.commons.io,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.apache.commons.io.file; org.apache.commons.io.filefilter.
commons-io,org.apache.commons.io,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.apache.commons.io.build; org.apache.commons.io.input.
commons-io,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 6.1. All the dependencies among components: from: org.apache.commons.io to: org.apache.commons.io.function; from: org.apache.commons.io to: org.apache.commons.io.input; from: org.apache.commons.io to: org.apache.commons.io.output; from: org.apache.commons.io to: org.apache.commons.io.filefilter; from: org.apache.commons.io to: org.apache.commons.io.file; from: org.apache.commons.io to: org.apache.commons.io.test; from: org.apache.commons.io to: org.apache.commons.io.file.attribute; from: org.apache.commons.io.function to: org.apache.commons.io; from: org.apache.commons.io.function to: org.apache.commons.io.file; from: org.apache.commons.io.input to: org.apache.commons.io; from: org.apache.commons.io.input to: org.apache.commons.io.function; from: org.apache.commons.io.input to: org.apache.commons.io.charset; from: org.apache.commons.io.input to: org.apache.commons.io.file.attribute; from: org.apache.commons.io.input to: org.apache.commons.io.output; from: org.apache.commons.io.input to: org.apache.commons.io.test; from: org.apache.commons.io.input to: org.apache.commons.io.build; from: org.apache.commons.io.input to: org.apache.commons.io.file; from: org.apache.commons.io.input.buffer to: org.apache.commons.io; from: org.apache.commons.io.file to: org.apache.commons.io.function; from: org.apache.commons.io.file to: org.apache.commons.io.filefilter; from: org.apache.commons.io.file to: org.apache.commons.io; from: org.apache.commons.io.file to: org.apache.commons.io.file.attribute; from: org.apache.commons.io.file to: org.apache.commons.io.test; from: org.apache.commons.io.file to: org.apache.commons.io.output; from: org.apache.commons.io.monitor to: org.apache.commons.io; from: org.apache.commons.io.monitor to: org.apache.commons.io.file.attribute; from: org.apache.commons.io.monitor to: org.apache.commons.io.comparator; from: org.apache.commons.io.monitor to: org.apache.commons.io.filefilter; from: org.apache.commons.io.monitor to: org.apache.commons.io.file; from: org.apache.commons.io.monitor to: org.apache.commons.io.test; from: org.apache.commons.io.comparator to: org.apache.commons.io; from: org.apache.commons.io.comparator to: org.apache.commons.io.test; from: org.apache.commons.io.output to: org.apache.commons.io; from: org.apache.commons.io.output to: org.apache.commons.io.input; from: org.apache.commons.io.output to: org.apache.commons.io.file; from: org.apache.commons.io.output to: org.apache.commons.io.function; from: org.apache.commons.io.output to: org.apache.commons.io.charset; from: org.apache.commons.io.output to: org.apache.commons.io.build; from: org.apache.commons.io.channels to: org.apache.commons.io; from: org.apache.commons.io.channels to: org.apache.commons.io.channels.filter; from: org.apache.commons.io.channels to: org.apache.commons.io.function; from: org.apache.commons.io.channels.filter to: org.apache.commons.io.channels; from: org.apache.commons.io.build to: org.apache.commons.io; from: org.apache.commons.io.build to: org.apache.commons.io.file; from: org.apache.commons.io.build to: org.apache.commons.io.function; from: org.apache.commons.io.build to: org.apache.commons.io.input; from: org.apache.commons.io.serialization to: org.apache.commons.io; from: org.apache.commons.io.serialization to: org.apache.commons.io.input; from: org.apache.commons.io.filefilter to: org.apache.commons.io; from: org.apache.commons.io.filefilter to: org.apache.commons.io.file; from: org.apache.commons.io.filefilter to: org.apache.commons.io.function; from: org.apache.commons.io.filefilter to: org.apache.commons.io.output; from: org.apache.commons.io.filefilter to: org.apache.commons.io.test; from: org.apache.commons.io.input.compatibility to: org.apache.commons.io; from: org.apache.commons.io.test to: org.apache.commons.io.output; from: org.apache.commons.io.test to: org.apache.commons.io; from: org.apache.commons.io.test to: org.apache.commons.io.input; from: org.apache.commons.io.jmh to: org.apache.commons.io; from: org.apache.commons.io.jmh to: org.apache.commons.io.input; from: org.apache.commons.io.jmh to: org.apache.commons.io.output; from: org.apache.commons.io.jmh to: org.apache.commons.io.file.
commons-io,org.apache.commons.io,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.commons.io; org.apache.commons.io.function; org.apache.commons.io
commons-io,org.apache.commons.io,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.commons.io; org.apache.commons.io.input; org.apache.commons.io
commons-io,org.apache.commons.io,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.commons.io; org.apache.commons.io.output; org.apache.commons.io
commons-io,org.apache.commons.io,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.commons.io; org.apache.commons.io.filefilter; org.apache.commons.io
commons-io,org.apache.commons.io,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.commons.io; org.apache.commons.io.file; org.apache.commons.io
commons-io,org.apache.commons.io,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.commons.io; org.apache.commons.io.test; org.apache.commons.io
commons-io,org.apache.commons.io.function,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 70
commons-io,org.apache.commons.io.function,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.commons.io; org.apache.commons.io.file
commons-io,org.apache.commons.io.input,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 182
commons-io,org.apache.commons.io.input,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.commons.io.build
commons-io,org.apache.commons.io.file,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 58
commons-io,org.apache.commons.io.file,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.commons.io.filefilter; org.apache.commons.io.output
commons-io,org.apache.commons.io.monitor,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.apache.commons.io.function; org.apache.commons.io.build.
commons-io,org.apache.commons.io.output,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 93
commons-io,org.apache.commons.io.output,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.commons.io.input; org.apache.commons.io.build
commons-io,org.apache.commons.io.channels,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [FileChannels; FileChannelsTest; FileChannelsTest.FileChannelType]; [FilterChannel; FilterChannel.AbstractBuilder; FilterChannel.Builder; FilterChannelTest]; [FilterFileChannel; FilterFileChannel.Builder; FilterFileChannelTest; FixedReadSizeFileChannelProxy; NonBlockingFileChannelProxy]; [FilterFileChannel.AbstractBuilder]; [ByteArraySeekableByteChannel; ByteArraySeekableByteChannel.Builder; ByteArraySeekableByteChannelCompressTest; ByteArraySeekableByteChannelTest; FileSeekableByteChannelTest; AbstractSeekableByteChannelTest]; [FilterReadableByteChannelTest]; [CloseShieldChannelTest]; [FilterByteChannelTest]; [FilterSeekableByteChannelTest]; [FilterWritableByteChannelTest]; [CloseShieldChannelFilterByteChannelTest]. LCC (Lack of Component Cohesion) = 0.44
commons-io,org.apache.commons.io.channels,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.commons.io.channels; org.apache.commons.io.channels.filter; org.apache.commons.io.channels
commons-io,org.apache.commons.io.channels.filter,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.commons.io.channels
commons-io,org.apache.commons.io.channels.filter,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [FilterReadableByteChannel; FilterReadableByteChannel.Builder]; [FilterReadableByteChannel.AbstractBuilder]; [FilterByteChannel; FilterByteChannel.AbstractBuilder; FilterByteChannel.Builder; FilterSeekableByteChannel; FilterSeekableByteChannel.AbstractBuilder; FilterSeekableByteChannel.Builder]; [FilterWritableByteChannel; FilterWritableByteChannel.Builder]; [FilterWritableByteChannel.AbstractBuilder]. LCC (Lack of Component Cohesion) = 0.42
commons-io,org.apache.commons.io.build,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 38
commons-io,org.apache.commons.io.build,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.commons.io.build; org.apache.commons.io.input; org.apache.commons.io.build
commons-io,org.apache.commons.io.filefilter,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 47
commons-io,org.apache.commons.io.test,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.commons.io.output; org.apache.commons.io; org.apache.commons.io.input
commons-io,org.apache.commons.io.test,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ThrowOnCloseOutputStream]; [CustomIOException]; [TestUtils]; [ThrowOnCloseWriter]; [ThrowOnFlushAndCloseOutputStream]; [ThrowOnCloseReader]; [ThrowOnCloseInputStream]. LCC (Lack of Component Cohesion) = 1.0
